route_id,main_shape_id,trip_headsign,direction_id,route_desc,valid_from,valid_to,parent_version_id,note,version_id
MP52,V040,Örs vezér tere M+H,0,Széll Kálmán tér M / Örs vezér tere M+H,2013-10-12,,,,100000
MP52,V041,Széll Kálmán tér M,1,Széll Kálmán tér M / Örs vezér tere M+H,2013-10-12,,,,100001
MP525,V038,Örs vezér tere M+H,0,Széll Kálmán tér M / Örs vezér tere M+H,2013-10-12,,,,100002
MP525,V039,Széll Kálmán tér M,1,Széll Kálmán tér M / Örs vezér tere M+H,2013-10-12,,,,100003
VP01,X032,Lehel utca/Róbert Károly körút,0,Bécsi út (Vörösvári út) / Lehel utca/Róbert Károly körút,2013-10-11,2013-12-22,,,100004
VP01,X033,Bécsi út (Vörösvári út),1,Bécsi út (Vörösvári út) / Lehel utca/Róbert Károly körút,2013-10-11,2013-12-15,,,100005
VP02,V055,Nyugati pályaudvar M,0,Kossuth Lajos tér (Széchenyi rakpart) / Nyugati pályaudvar M,2013-10-11,2014-03-07,,,100006
VP02,V056,Kossuth Lajos tér (Széchenyi rakpart),1,Kossuth Lajos tér (Széchenyi rakpart) / Nyugati pályaudvar M,2013-10-11,2014-03-07,,,100007
VP06,P890,Széll Kálmán tér M,0,Móricz Zsigmond körtér / Széll Kálmán tér M,2013-10-15,2014-03-02,,,100008
VP06,P891,Móricz Zsigmond körtér,1,Móricz Zsigmond körtér / Széll Kálmán tér M,2013-10-15,2014-03-02,,,100009
VP101,X034,Lehel utca/Róbert Károly körút,0,"Óbuda, Bogdáni út / Lehel utca/Róbert Károly körút",2013-10-11,2013-12-22,,,100010
VP101,X064,"Óbuda, Bogdáni út",1,"Óbuda, Bogdáni út / Lehel utca/Róbert Károly körút",2013-10-11,2013-12-15,,,100011
VP42,X162,"Kispest, Tulipán utca",0,"Határ út M / Kispest, Tulipán utca",2013-10-11,,,,100012
VP42,X163,Határ út M,1,"Határ út M / Kispest, Tulipán utca",2013-10-11,,,,100013
VP61,X017,Hűvösvölgy,0,Széll Kálmán tér M / Hűvösvölgy,2013-10-11,,,,100014
VP61,X016,Széll Kálmán tér M,1,Széll Kálmán tér M / Hűvösvölgy,2013-10-11,,,,100015
0050,R952,"Rákospalota, Kossuth utca",0,"Pasaréti tér / Rákospalota, Kossuth utca",2013-10-11,2014-08-31,,,100016
0050,U961,Pasaréti tér,1,"Pasaréti tér / Rákospalota, Kossuth utca",2013-10-11,2014-08-31,,,100017
0070,S704,"Újpalota, Nyírpalota út",0,"Albertfalva vasútállomás / Újpalota, Nyírpalota út",2013-10-11,2014-04-06,,,100018
0070,S705,Albertfalva vasútállomás,1,"Albertfalva vasútállomás / Újpalota, Nyírpalota út",2013-10-11,2014-04-06,,,100019
0071,S710,Bosnyák tér,0,Bornemissza tér / Bosnyák tér,2013-10-11,,,,100020
0071,S711,Bornemissza tér,1,Bornemissza tér / Bosnyák tér,2013-10-11,,,,100021
0075,S666,"Újpalota, Nyírpalota út",0,"Kelenföld vasútállomás / Újpalota, Nyírpalota út",2013-10-11,2014-04-06,,,100022
0075,S663,Kelenföld vasútállomás,1,"Kelenföld vasútállomás / Újpalota, Nyírpalota út",2013-10-11,2014-04-06,,,100023
0078,V014,"Újpalota, Nyírpalota út",0,"Cinkotai autóbuszgarázs / Újpalota, Nyírpalota út",2013-10-11,,,,100024
0080,J695,Gazdagréti tér,0,Uránia / Gazdagréti tér,2013-10-11,2014-04-06,,,100025
0080,V878,Uránia,1,Uránia / Gazdagréti tér,2013-10-11,2014-04-06,,,100026
0090,U327,Kőbánya alsó vasútállomás,0,"Óbuda, Bogdáni út / Kőbánya alsó vasútállomás",2013-10-11,,,,100027
0090,U328,"Óbuda, Bogdáni út",1,"Óbuda, Bogdáni út / Kőbánya alsó vasútállomás",2013-10-11,,,,100028
0110,0714,Nagybányai út,0,Batthyány tér M+H / Nagybányai út,2013-10-17,2014-11-06,,,100029
0110,0715,Batthyány tér M+H,1,Batthyány tér M+H / Nagybányai út,2013-10-17,2014-11-06,,,100030
0130,C660,"Diósd, Búzavirág utca",0,"Budatétény vasútállomás (Campona) / Diósd, Búzavirág utca",2013-10-11,,,,100031
